Timestamp,Elastic-VM,Logging-VM,SvcProxy-VM1,SvcProxy-VM0
03/02/2025 00:00,7.82,6.335,0.515,0.52
03/02/2025 00:01,9.955,7.37,1.115,0.515
03/02/2025 00:02,9.25,8.45,3.145,0.485
03/02/2025 00:03,8.8,9.155,1.56,0.475
03/02/2025 00:04,11.37,10.065,0.49,0.505
03/02/2025 00:05,13.845,10.04,0.515,0.485
03/02/2025 00:06,6.555,6.475,0.79,0.53
03/02/2025 00:07,6.795,5.58,0.48,0.52
03/02/2025 00:08,5.765,5.525,0.555,0.475
03/02/2025 00:09,7.06,6.265,0.565,0.5
03/02/2025 00:10,8.7,6.57,0.52,5.01
03/02/2025 00:11,10.68,7.17,5.35,0.61
03/02/2025 00:12,11.22,7.75,0.65,0.495
03/02/2025 00:13,10.69,8.29,0.67,0.485
03/02/2025 00:14,7.32,7.615,0.5,0.51
03/02/2025 00:15,6.115,5.795,0.535,0.635
03/02/2025 00:16,8.765,5.635,0.56,0.505
03/02/2025 00:17,10.47,5.63,0.59,0.485
03/02/2025 00:18,7.505,6.415,0.5,0.48
03/02/2025 00:19,9.995,6.435,0.475,0.5
03/02/2025 00:20,7.135,6.56,0.5,0.46
03/02/2025 00:21,7.22,7.045,0.665,0.445
03/02/2025 00:22,8.75,7.825,0.71,0.515
03/02/2025 00:23,7.155,7.13,0.535,0.47
03/02/2025 00:24,6.515,5.735,0.475,0.505
03/02/2025 00:25,6.595,5.845,0.505,9.11
03/02/2025 00:26,7.505,5.45,7.585,0.575
03/02/2025 00:27,8.66,6.37,0.53,0.62
03/02/2025 00:28,10.605,6.375,0.75,0.54
03/02/2025 00:29,6.76,6.405,0.49,0.51
03/02/2025 00:30,6.805,6.745,0.525,0.475
03/02/2025 00:31,7.605,6.975,0.565,0.545
03/02/2025 00:32,7.23,6.59,0.61,0.63
03/02/2025 00:33,5.71,5.555,0.61,0.435
03/02/2025 00:34,6.31,5.805,0.545,0.52
03/02/2025 00:35,6.12,5.565,0.525,0.465
03/02/2025 00:36,6.36,6.705,0.585,0.48
03/02/2025 00:37,7.015,6.165,2.94,0.425
03/02/2025 00:38,6.795,5.99,1.885,2.71
03/02/2025 00:39,9.77,6.335,0.62,0.515
03/02/2025 00:40,10.715,6.98,0.53,5.075
03/02/2025 00:41,6.78,5.985,5.375,0.605
03/02/2025 00:42,6.17,5.745,0.71,0.495
03/02/2025 00:43,5.795,5.645,0.7,0.43
03/02/2025 00:44,6.51,5.645,0.49,0.505
03/02/2025 00:45,5.82,6.26,0.54,0.48
03/02/2025 00:46,6.575,6.005,0.57,0.545
03/02/2025 00:47,6.525,5.76,0.495,0.52
03/02/2025 00:48,5.99,5.98,0.495,0.48
03/02/2025 00:49,6.705,6.775,0.48,0.505
03/02/2025 00:50,6.62,6.025,0.515,2.3
03/02/2025 00:51,6.915,5.79,0.56,2.175
03/02/2025 00:52,9.895,5.635,0.485,0.565
03/02/2025 00:53,8.67,5.335,0.55,0.48
03/02/2025 00:54,6.32,6.735,0.495,0.5
03/02/2025 00:55,7.4,5.745,0.53,7.51
03/02/2025 00:56,6.365,5.435,9.34,0.54
03/02/2025 00:57,7.295,6.425,0.72,0.535
03/02/2025 00:58,6.855,6.155,0.575,0.475
03/02/2025 00:59,6.16,5.93,0.51,0.5
03/02/2025 01:00,6.09,5.99,0.615,0.45
03/02/2025 01:01,7.69,6.225,0.885,0.745
03/02/2025 01:02,,7.595,0.63,0.49
03/02/2025 01:03,10.6875,8.675,1.545,0.425
03/02/2025 01:04,13.07,8.745,3.23,0.495
03/02/2025 01:05,14.245,8.56,0.925,0.435
03/02/2025 01:06,11.17,6.615,0.655,0.565
03/02/2025 01:07,7.905,6.22,0.475,0.55
03/02/2025 01:08,11.975,6.045,0.685,0.425
03/02/2025 01:09,8.07,5.99,0.48,0.495
03/02/2025 01:10,8.025,5.585,0.525,5.14
03/02/2025 01:11,7.01,5.405,5.67,0.605
03/02/2025 01:12,9.295,6.345,0.735,0.45
03/02/2025 01:13,9.235,5.71,0.92,0.44
03/02/2025 01:14,9.0,5.38,0.53,0.51
03/02/2025 01:15,6.975,10.495,0.735,0.54
03/02/2025 01:16,6.365,6.19,0.715,0.555
03/02/2025 01:17,7.23,5.8,0.555,0.45
03/02/2025 01:18,7.445,5.79,0.78,0.43
03/02/2025 01:19,6.49,5.84,0.475,0.52
03/02/2025 01:20,7.97,5.59,0.51,0.445
03/02/2025 01:21,9.025,5.965,0.56,0.53
03/02/2025 01:22,7.095,6.01,0.48,0.53
03/02/2025 01:23,6.75,5.525,0.75,1.255
03/02/2025 01:24,8.43,5.865,0.47,0.51
03/02/2025 01:25,6.98,6.465,0.505,7.57
03/02/2025 01:26,5.985,5.56,7.735,0.62
03/02/2025 01:27,6.37,5.98,0.53,0.605
03/02/2025 01:28,6.26,5.505,0.63,0.495
03/02/2025 01:29,6.21,5.705,0.48,0.51
03/02/2025 01:30,6.575,6.6,1.085,0.44
03/02/2025 01:31,5.89,5.62,0.715,0.54
03/02/2025 01:32,6.38,5.425,0.5,0.53
03/02/2025 01:33,6.75,5.975,0.74,0.535
03/02/2025 01:34,7.82,6.13,0.535,0.525
03/02/2025 01:35,9.39,5.65,0.53,0.46
03/02/2025 01:36,8.505,5.98,0.705,0.47
03/02/2025 01:37,6.265,5.645,2.47,0.505
03/02/2025 01:38,6.45,6.215,0.91,2.795
03/02/2025 01:39,6.51,6.635,0.56,0.52
03/02/2025 01:40,5.9,5.61,0.51,6.5
03/02/2025 01:41,6.64,5.385,5.15,0.68
03/02/2025 01:42,6.0,5.875,0.54,0.495
03/02/2025 01:43,6.91,6.15,0.57,0.53
03/02/2025 01:44,6.115,5.765,0.495,0.505
03/02/2025 01:45,6.375,6.025,0.51,0.445
03/02/2025 01:46,6.42,5.46,0.57,0.585
03/02/2025 01:47,7.89,5.94,0.475,0.48
03/02/2025 01:48,9.115,6.245,0.615,0.49
03/02/2025 01:49,7.82,5.64,0.47,0.515
03/02/2025 01:50,7.74,5.76,0.505,0.425
03/02/2025 01:51,5.9,5.735,0.555,0.935
03/02/2025 01:52,6.29,6.075,0.485,2.855
03/02/2025 01:53,6.97,6.085,0.785,1.23
03/02/2025 01:54,6.04,6.225,0.685,0.51
03/02/2025 01:55,5.965,5.405,0.735,7.46
03/02/2025 01:56,5.765,5.605,7.785,0.62
03/02/2025 01:57,7.015,6.33,0.545,0.45
03/02/2025 01:58,6.915,5.765,1.01,0.435
03/02/2025 01:59,6.86,5.65,0.49,0.51
03/02/2025 02:00,9.055,5.745,0.55,0.43
03/02/2025 02:01,8.495,6.855,0.76,0.565
03/02/2025 02:02,9.7,8.35,0.48,0.43
03/02/2025 02:03,9.98,9.115,0.6,0.53
03/02/2025 02:04,8.545,7.74,0.475,0.505
03/02/2025 02:05,8.815,7.835,2.31,0.435
03/02/2025 02:06,7.035,6.475,2.76,0.525
03/02/2025 02:07,7.185,5.98,0.53,0.445
03/02/2025 02:08,6.955,5.575,0.68,0.515
03/02/2025 02:09,6.81,5.675,0.48,0.51
03/02/2025 02:10,6.115,6.165,0.515,4.995
03/02/2025 02:11,7.73,5.45,6.845,0.585
03/02/2025 02:12,7.86,5.755,0.59,0.455
03/02/2025 02:13,9.375,5.705,0.75,0.54
03/02/2025 02:14,6.035,5.515,0.5,0.51
03/02/2025 02:15,6.365,6.18,0.52,1.62
03/02/2025 02:16,6.105,5.82,1.285,0.57
03/02/2025 02:17,5.955,5.48,0.505,0.435
03/02/2025 02:18,6.5,5.715,0.84,0.45
03/02/2025 02:19,6.63,6.41,0.47,0.52
03/02/2025 02:20,6.21,5.77,0.51,0.43
03/02/2025 02:21,7.87,5.705,0.545,0.52
03/02/2025 02:22,6.095,5.725,0.47,0.505
03/02/2025 02:23,7.585,5.435,0.635,0.525
03/02/2025 02:24,7.88,6.235,0.47,0.505
03/02/2025 02:25,7.09,5.815,0.51,7.58
03/02/2025 02:26,8.5,5.34,7.655,0.63
03/02/2025 02:27,6.085,5.865,0.52,0.485
03/02/2025 02:28,7.105,6.09,0.72,0.525
03/02/2025 02:29,5.86,5.655,0.48,0.505
03/02/2025 02:30,6.285,6.055,0.525,0.435
03/02/2025 02:31,6.09,5.52,0.575,0.575
03/02/2025 02:32,6.29,5.67,0.49,0.48
03/02/2025 02:33,7.46,6.58,0.835,0.43
03/02/2025 02:34,6.13,5.7,0.53,0.585
03/02/2025 02:35,7.35,5.69,0.52,0.445
03/02/2025 02:36,8.41,5.925,0.695,1.11
03/02/2025 02:37,7.585,6.26,0.485,0.43
03/02/2025 02:38,7.135,5.77,2.915,2.755
03/02/2025 02:39,7.96,6.015,0.565,0.555
03/02/2025 02:40,6.56,6.355,0.785,5.225
03/02/2025 02:41,6.615,5.725,5.295,0.64
03/02/2025 02:42,7.22,6.2,0.555,0.44
03/02/2025 02:43,7.885,5.61,0.805,0.475
03/02/2025 02:44,7.54,5.775,0.49,0.51
03/02/2025 02:45,6.005,5.73,1.155,0.58
03/02/2025 02:46,6.28,6.09,0.73,0.535
03/02/2025 02:47,6.43,6.16,0.48,0.44
03/02/2025 02:48,7.015,5.8,0.745,0.48
03/02/2025 02:49,6.215,5.72,0.485,0.51
03/02/2025 02:50,6.965,5.805,0.735,0.43
03/02/2025 02:51,6.52,6.095,0.675,0.48
03/02/2025 02:52,8.07,5.865,0.49,0.425
03/02/2025 02:53,6.745,5.505,0.655,1.57
03/02/2025 02:54,6.585,6.19,0.495,2.86
03/02/2025 02:55,6.48,6.425,0.52,9.015
03/02/2025 02:56,7.965,5.64,7.59,0.635
03/02/2025 02:57,7.16,6.24,0.535,0.44
03/02/2025 02:58,7.66,5.825,0.68,0.535
03/02/2025 02:59,5.965,5.76,0.565,0.5
03/02/2025 03:00,6.52,6.345,0.515,0.425
03/02/2025 03:01,6.97,6.955,0.675,0.6
03/02/2025 03:02,8.395,7.88,0.485,0.435
03/02/2025 03:03,8.735,8.0,0.485,0.565
03/02/2025 03:04,10.325,8.505,0.49,0.51
03/02/2025 03:05,9.765,8.58,0.53,0.44
03/02/2025 03:06,9.175,6.37,1.08,0.52
03/02/2025 03:07,6.77,5.885,2.965,0.44
03/02/2025 03:08,7.895,5.98,1.795,0.515
03/02/2025 03:09,7.215,6.605,0.61,0.505
03/02/2025 03:10,7.07,5.695,0.545,5.065
03/02/2025 03:11,6.8,5.365,5.37,0.685
03/02/2025 03:12,6.61,5.91,0.595,0.44
03/02/2025 03:13,7.655,6.125,0.815,0.52
03/02/2025 03:14,6.81,5.715,0.52,0.505
03/02/2025 03:15,7.055,6.02,0.55,0.53
03/02/2025 03:16,8.285,5.63,0.59,0.59
03/02/2025 03:17,7.29,5.685,0.495,0.44
03/02/2025 03:18,8.925,6.485,0.52,0.55
03/02/2025 03:19,7.9,5.63,0.5,0.505
03/02/2025 03:20,9.03,5.665,0.54,0.43
03/02/2025 03:21,7.32,5.83,0.71,0.475
03/02/2025 03:22,6.99,6.115,0.51,0.515
03/02/2025 03:23,7.27,5.805,0.825,0.48
03/02/2025 03:24,6.46,6.1,0.5,0.5
03/02/2025 03:25,6.825,5.545,0.52,7.485
03/02/2025 03:26,6.85,5.54,9.43,0.57
03/02/2025 03:27,9.125,6.645,0.55,0.485
03/02/2025 03:28,8.355,5.615,0.735,0.535
03/02/2025 03:29,8.125,5.5,0.5,0.51
03/02/2025 03:30,7.25,5.715,0.535,0.435
03/02/2025 03:31,6.72,5.885,0.58,0.585
03/02/2025 03:32,6.975,5.865,0.49,0.48
03/02/2025 03:33,7.13,5.85,0.735,0.475
03/02/2025 03:34,6.595,5.535,0.685,0.51
03/02/2025 03:35,7.525,5.52,0.555,0.535
03/02/2025 03:36,8.43,6.26,0.6,0.52
03/02/2025 03:37,6.68,5.87,0.48,0.45
03/02/2025 03:38,7.22,5.655,2.875,2.805
03/02/2025 03:39,6.97,6.08,0.595,0.555
03/02/2025 03:40,6.99,6.39,0.53,5.015
03/02/2025 03:41,10.81,5.82,5.265,0.65
03/02/2025 03:42,8.35,6.885,0.6,0.455
03/02/2025 03:43,8.59,5.79,0.835,0.475
03/02/2025 03:44,6.6,5.765,0.52,0.5
03/02/2025 03:45,7.095,6.825,0.56,0.435
03/02/2025 03:46,6.965,5.875,0.595,0.585
03/02/2025 03:47,6.835,6.015,0.49,0.44
03/02/2025 03:48,7.69,5.93,0.735,0.475
03/02/2025 03:49,8.14,6.37,0.485,0.5
03/02/2025 03:50,7.305,6.095,0.515,0.435
03/02/2025 03:51,7.665,5.985,0.69,0.47
03/02/2025 03:52,7.62,5.57,0.49,0.43
03/02/2025 03:53,7.345,5.97,0.935,0.425
03/02/2025 03:54,8.015,6.87,0.675,0.51
03/02/2025 03:55,8.175,5.58,0.71,9.755
03/02/2025 03:56,7.67,5.765,7.83,1.98
03/02/2025 03:57,6.975,5.99,0.71,0.445
03/02/2025 03:58,7.105,6.54,0.895,0.43
03/02/2025 03:59,6.76,6.19,0.485,0.505
03/02/2025 04:00,6.925,5.935,0.6,0.435
03/02/2025 04:01,7.685,6.855,0.64,0.63
03/02/2025 04:02,12.105,8.045,0.51,0.445
03/02/2025 04:03,10.77,9.31,0.615,0.535
03/02/2025 04:04,9.155,8.31,0.48,0.52
03/02/2025 04:05,10.19,8.825,0.515,0.445
03/02/2025 04:06,9.195,5.795,0.63,0.59
03/02/2025 04:07,8.575,6.34,0.49,0.445
03/02/2025 04:08,8.76,5.755,1.425,0.485
03/02/2025 04:09,6.555,6.025,3.25,0.515
03/02/2025 04:10,6.775,5.665,1.02,6.475
03/02/2025 04:11,6.75,5.875,5.27,0.635
03/02/2025 04:12,7.28,6.51,0.525,0.45
03/02/2025 04:13,8.045,5.83,0.885,0.485
03/02/2025 04:14,9.48,5.48,0.485,0.515
03/02/2025 04:15,7.95,6.04,0.525,0.54
03/02/2025 04:16,8.26,6.285,0.565,0.575
03/02/2025 04:17,8.675,5.845,0.475,0.445
03/02/2025 04:18,8.28,5.97,0.72,0.48
03/02/2025 04:19,7.175,5.67,0.48,0.52
03/02/2025 04:20,7.765,5.725,0.515,0.445
03/02/2025 04:21,9.345,6.22,0.675,0.475
03/02/2025 04:22,8.685,5.565,0.49,0.525
03/02/2025 04:23,8.965,5.835,0.64,0.525
03/02/2025 04:24,9.22,5.79,0.47,0.505
03/02/2025 04:25,10.55,6.08,0.5,7.46
03/02/2025 04:26,8.055,5.495,32.6,0.59
03/02/2025 04:27,7.94,6.55,0.55,0.495
03/02/2025 04:28,8.56,5.675,0.775,0.68
03/02/2025 04:29,6.885,5.76,0.495,0.525
03/02/2025 04:30,7.465,6.5,0.535,0.445
03/02/2025 04:31,7.55,5.84,0.69,0.55
03/02/2025 04:32,7.55,5.46,0.48,0.48
03/02/2025 04:33,8.29,6.14,1.055,0.635
03/02/2025 04:34,7.49,6.165,0.555,0.52
03/02/2025 04:35,8.49,5.765,0.51,0.455
03/02/2025 04:36,8.605,6.05,0.705,0.56
03/02/2025 04:37,11.5,5.69,0.475,0.44
03/02/2025 04:38,,5.93,2.905,2.76
03/02/2025 04:39,8.75,6.545,0.56,0.565
03/02/2025 04:40,7.06,5.785,0.515,5.075
03/02/2025 04:41,6.68,5.69,5.31,0.645
03/02/2025 04:42,7.5,5.875,0.595,0.46
03/02/2025 04:43,8.415,6.34,0.57,0.585
03/02/2025 04:44,7.425,6.465,0.49,0.515
03/02/2025 04:45,7.675,5.945,0.54,0.445
03/02/2025 04:46,6.255,5.76,0.57,0.595
03/02/2025 04:47,7.255,5.885,0.48,0.455
03/02/2025 04:48,9.745,6.47,0.73,0.485
03/02/2025 04:49,9.885,5.82,0.49,0.525
03/02/2025 04:50,7.145,5.89,0.515,0.43
03/02/2025 04:51,6.99,5.73,1.04,0.48
03/02/2025 04:52,9.18,6.145,0.495,0.445
03/02/2025 04:53,8.87,6.065,0.81,0.485
03/02/2025 04:54,9.575,6.435,0.685,0.51
03/02/2025 04:55,7.475,5.69,0.715,7.515
03/02/2025 04:56,6.825,5.77,7.79,1.435
03/02/2025 04:57,7.785,6.515,0.53,3.015
03/02/2025 04:58,9.015,6.18,0.8,1.275
03/02/2025 04:59,8.64,5.74,0.485,0.525
03/02/2025 05:00,6.745,6.02,0.515,0.465
03/02/2025 05:01,8.325,7.29,2.535,0.6
03/02/2025 05:02,9.74,8.645,0.6,0.46
03/02/2025 05:03,10.65,10.01,0.5,0.585
03/02/2025 05:04,9.475,8.87,0.47,0.52
03/02/2025 05:05,8.575,8.675,0.51,0.445
03/02/2025 05:06,9.19,7.535,0.645,0.62
03/02/2025 05:07,8.085,6.225,2.06,0.45
03/02/2025 05:08,8.52,6.35,0.73,0.525
03/02/2025 05:09,8.255,6.515,0.485,0.51
03/02/2025 05:10,8.21,7.1,1.695,5.035
03/02/2025 05:11,7.685,6.585,7.97,0.66
03/02/2025 05:12,9.12,6.135,0.81,0.445
03/02/2025 05:13,7.81,6.11,0.77,0.525
03/02/2025 05:14,7.95,6.215,0.5,0.525
03/02/2025 05:15,7.78,6.935,0.525,0.545
03/02/2025 05:16,8.205,6.37,0.57,0.62
03/02/2025 05:17,8.6,6.16,0.475,0.455
03/02/2025 05:18,9.235,6.415,0.765,0.485
03/02/2025 05:19,6.915,6.965,0.495,0.875
03/02/2025 05:20,8.445,6.35,0.535,0.44
03/02/2025 05:21,7.4,6.235,0.61,0.54
03/02/2025 05:22,7.51,6.435,0.54,0.52
03/02/2025 05:23,8.3,6.265,0.77,0.485
03/02/2025 05:24,9.735,6.705,0.485,0.515
03/02/2025 05:25,8.295,6.895,0.525,8.915
03/02/2025 05:26,7.215,5.985,7.975,0.61
03/02/2025 05:27,8.585,6.935,0.565,0.5
03/02/2025 05:28,9.255,6.795,0.86,0.495
03/02/2025 05:29,8.755,6.415,0.495,0.515
03/02/2025 05:30,8.31,6.54,0.525,0.445
03/02/2025 05:31,8.62,6.28,0.705,0.535
03/02/2025 05:32,9.105,6.59,0.495,0.54
03/02/2025 05:33,9.515,7.105,0.725,0.485
03/02/2025 05:34,10.03,6.145,0.605,0.54
03/02/2025 05:35,14.115,5.73,0.53,0.46
03/02/2025 05:36,10.535,6.415,0.59,0.525
03/02/2025 05:37,9.655,6.665,0.51,0.535
03/02/2025 05:38,10.2,6.3,3.05,0.555
03/02/2025 05:39,10.315,6.525,0.63,2.705
03/02/2025 05:40,9.69,6.305,0.55,4.995
03/02/2025 05:41,9.53,5.815,6.745,0.63
03/02/2025 05:42,8.97,6.98,0.625,0.44
03/02/2025 05:43,9.92,5.965,0.825,1.7
03/02/2025 05:44,10.16,6.605,0.51,0.54
03/02/2025 05:45,9.06,6.365,0.54,0.45
03/02/2025 05:46,8.775,6.89,0.715,0.535
03/02/2025 05:47,9.575,6.385,0.565,0.45
03/02/2025 05:48,10.52,6.285,0.745,0.48
03/02/2025 05:49,7.41,5.955,0.5,0.52
03/02/2025 05:50,9.745,6.365,0.52,0.43
03/02/2025 05:51,9.195,6.26,0.595,0.53
03/02/2025 05:52,7.505,5.995,0.505,0.435
03/02/2025 05:53,8.58,5.84,0.685,0.52
03/02/2025 05:54,8.71,6.85,0.7,0.485
03/02/2025 05:55,8.44,6.305,0.755,7.42
03/02/2025 05:56,10.19,6.245,8.1,0.65
03/02/2025 05:57,8.89,6.26,0.765,0.495
03/02/2025 05:58,9.84,6.01,0.89,2.805
03/02/2025 05:59,9.885,6.19,0.505,1.76
03/02/2025 06:00,10.78,6.63,0.525,0.435
03/02/2025 06:01,10.54,6.99,0.91,0.545
03/02/2025 06:02,11.4,8.61,0.59,0.435
03/02/2025 06:03,11.86,8.535,0.75,0.48
03/02/2025 06:04,10.62,8.77,0.505,0.51
03/02/2025 06:05,12.93,9.09,0.515,0.445
03/02/2025 06:06,9.77,6.885,1.0,0.53
03/02/2025 06:07,11.325,6.325,0.505,0.435
03/02/2025 06:08,10.025,6.43,0.71,0.535
03/02/2025 06:09,10.085,6.98,0.515,0.51
03/02/2025 06:10,8.585,6.2,0.53,5.63
03/02/2025 06:11,7.64,6.265,5.33,0.64
03/02/2025 06:12,7.365,6.18,2.625,0.44
03/02/2025 06:13,9.095,6.485,2.82,0.475
03/02/2025 06:14,7.795,11.315,0.595,0.505
03/02/2025 06:15,8.515,7.24,0.545,0.53
03/02/2025 06:16,10.825,6.26,0.82,0.545
03/02/2025 06:17,8.39,6.04,0.505,0.445
03/02/2025 06:18,8.53,6.945,0.88,0.42
03/02/2025 06:19,7.27,6.395,0.505,0.52
03/02/2025 06:20,8.83,5.825,0.505,0.435
03/02/2025 06:21,8.72,5.935,0.735,0.49
